# seed=42 mode=sniper file=Addams Family, The (USA).gb filesize=131072
trial	mode	filesize	off	bit	span	detected
0	sniper	131072	97238	1	1	false
1	sniper	131072	111259	3	1	false
2	sniper	131072	89773	2	1	false
3	sniper	131072	78124	7	1	false
4	sniper	131072	2056	5	1	false
5	sniper	131072	7641	1	1	false
6	sniper	131072	19932	6	1	false
7	sniper	131072	63569	3	1	false
8	sniper	131072	60122	4	1	false
9	sniper	131072	113187	4	1	false
10	sniper	131072	40008	7	1	false
11	sniper	131072	75472	3	1	false
12	sniper	131072	11139	1	1	false
13	sniper	131072	7082	3	1	false
14	sniper	131072	1812	0	1	false
15	sniper	131072	123120	3	1	false
16	sniper	131072	63670	6	1	false
17	sniper	131072	17141	0	1	false
18	sniper	131072	26778	7	1	false
19	sniper	131072	120534	6	1	false
20	sniper	131072	70050	3	1	false
21	sniper	131072	92143	4	1	false
22	sniper	131072	4846	2	1	false
23	sniper	131072	109882	0	1	false
24	sniper	131072	32409	5	1	false
25	sniper	131072	12438	0	1	false
26	sniper	131072	40738	5	1	false
27	sniper	131072	117218	4	1	false
28	sniper	131072	46031	4	1	false
29	sniper	131072	21999	7	1	false
30	sniper	131072	63560	1	1	false
31	sniper	131072	26737	3	1	false
32	sniper	131072	49280	0	1	false
33	sniper	131072	121243	0	1	false
34	sniper	131072	66986	4	1	false
35	sniper	131072	21023	7	1	false
36	sniper	131072	24980	6	1	false
37	sniper	131072	122964	5	1	false
38	sniper	131072	78587	6	1	false
39	sniper	131072	46016	0	1	false
40	sniper	131072	126459	7	1	false
41	sniper	131072	98366	7	1	false
42	sniper	131072	18129	6	1	false
43	sniper	131072	55901	0	1	false
44	sniper	131072	107314	0	1	false
45	sniper	131072	126558	6	1	false
46	sniper	131072	107209	3	1	false
47	sniper	131072	122033	5	1	false
48	sniper	131072	66663	2	1	false
49	sniper	131072	92525	2	1	false
50	sniper	131072	98393	2	1	false
51	sniper	131072	91221	3	1	false
52	sniper	131072	36536	7	1	false
53	sniper	131072	2566	2	1	false
54	sniper	131072	130308	6	1	false
55	sniper	131072	84255	7	1	false
56	sniper	131072	52795	6	1	false
57	sniper	131072	100653	6	1	false
58	sniper	131072	23799	1	1	false
59	sniper	131072	107187	2	1	false
60	sniper	131072	40233	4	1	false
61	sniper	131072	68462	2	1	false
62	sniper	131072	33908	5	1	false
63	sniper	131072	99854	7	1	false
64	sniper	131072	77722	0	1	false
65	sniper	131072	97604	0	1	false
66	sniper	131072	125809	3	1	false
67	sniper	131072	72882	7	1	false
68	sniper	131072	28894	1	1	false
69	sniper	131072	3131	3	1	false
70	sniper	131072	98011	2	1	false
71	sniper	131072	52829	6	1	false
72	sniper	131072	25453	2	1	false
73	sniper	131072	76805	4	1	false
74	sniper	131072	11837	2	1	false
75	sniper	131072	10389	2	1	false
76	sniper	131072	73360	0	1	false
77	sniper	131072	125725	4	1	false
78	sniper	131072	71387	2	1	false
79	sniper	131072	48834	4	1	false
80	sniper	131072	96491	2	1	false
81	sniper	131072	91117	3	1	false
82	sniper	131072	18469	0	1	false
83	sniper	131072	78237	2	1	false
84	sniper	131072	50304	2	1	false
85	sniper	131072	53023	3	1	false
86	sniper	131072	58587	6	1	false
87	sniper	131072	115142	6	1	false
88	sniper	131072	76134	0	1	false
89	sniper	131072	26526	5	1	false
90	sniper	131072	65380	6	1	false
91	sniper	131072	3177	4	1	false
92	sniper	131072	18185	2	1	false
93	sniper	131072	34329	3	1	false
94	sniper	131072	13497	4	1	false
95	sniper	131072	53265	7	1	false
96	sniper	131072	46369	6	1	false
97	sniper	131072	65845	2	1	false
98	sniper	131072	59651	0	1	false
99	sniper	131072	65626	7	1	false
