# seed=42 mode=shotgun file=Addams Family, The (USA).gb filesize=131072
trial	mode	filesize	off	bit	span	detected
0	shotgun	131072	67383	-	4096	false
1	shotgun	131072	100823	-	4096	false
2	shotgun	131072	24785	-	4096	false
3	shotgun	131072	61401	-	4096	false
4	shotgun	131072	86231	-	4096	false
5	shotgun	131072	126286	-	4096	false
6	shotgun	131072	50490	-	4096	false
7	shotgun	131072	23743	-	4096	false
8	shotgun	131072	64882	-	4096	false
9	shotgun	131072	116121	-	4096	false
10	shotgun	131072	5795	-	4096	false
11	shotgun	131072	111323	-	4096	false
12	shotgun	131072	43887	-	4096	false
13	shotgun	131072	4605	-	4096	false
14	shotgun	131072	9829	-	4096	false
15	shotgun	131072	3436	-	4096	false
16	shotgun	131072	92895	-	4096	false
17	shotgun	131072	46510	-	4096	false
18	shotgun	131072	20318	-	4096	false
19	shotgun	131072	15987	-	4096	false
20	shotgun	131072	80748	-	4096	false
21	shotgun	131072	32429	-	4096	false
22	shotgun	131072	7175	-	4096	false
23	shotgun	131072	124294	-	4096	false
24	shotgun	131072	43333	-	4096	false
25	shotgun	131072	67806	-	4096	false
26	shotgun	131072	126474	-	4096	false
27	shotgun	131072	70314	-	4096	false
28	shotgun	131072	91427	-	4096	false
29	shotgun	131072	59457	-	4096	false
30	shotgun	131072	57979	-	4096	false
31	shotgun	131072	122963	-	4096	false
32	shotgun	131072	12394	-	4096	false
33	shotgun	131072	23636	-	4096	false
34	shotgun	131072	84712	-	4096	false
35	shotgun	131072	92281	-	4096	false
36	shotgun	131072	77530	-	4096	false
37	shotgun	131072	35491	-	4096	false
38	shotgun	131072	48962	-	4096	false
39	shotgun	131072	51325	-	4096	false
40	shotgun	131072	82684	-	4096	false
41	shotgun	131072	106961	-	4096	false
42	shotgun	131072	53598	-	4096	false
43	shotgun	131072	34181	-	4096	false
44	shotgun	131072	121332	-	4096	false
45	shotgun	131072	2262	-	4096	false
46	shotgun	131072	116030	-	4096	false
47	shotgun	131072	104322	-	4096	false
48	shotgun	131072	54867	-	4096	false
49	shotgun	131072	28017	-	4096	false
50	shotgun	131072	44486	-	4096	false
51	shotgun	131072	46489	-	4096	false
52	shotgun	131072	35357	-	4096	false
53	shotgun	131072	27941	-	4096	false
54	shotgun	131072	53711	-	4096	false
55	shotgun	131072	96819	-	4096	false
56	shotgun	131072	47661	-	4096	false
57	shotgun	131072	59424	-	4096	false
58	shotgun	131072	88400	-	4096	false
59	shotgun	131072	64534	-	4096	false
60	shotgun	131072	51230	-	4096	false
61	shotgun	131072	106120	-	4096	false
62	shotgun	131072	117295	-	4096	false
63	shotgun	131072	44565	-	4096	false
64	shotgun	131072	52519	-	4096	false
65	shotgun	131072	105261	-	4096	false
66	shotgun	131072	118067	-	4096	false
67	shotgun	131072	69541	-	4096	false
68	shotgun	131072	207	-	4096	true
69	shotgun	131072	124853	-	4096	false
70	shotgun	131072	59588	-	4096	false
71	shotgun	131072	113820	-	4096	false
72	shotgun	131072	101725	-	4096	false
73	shotgun	131072	41761	-	4096	false
74	shotgun	131072	91007	-	4096	false
75	shotgun	131072	34003	-	4096	false
76	shotgun	131072	17426	-	4096	false
77	shotgun	131072	124468	-	4096	false
78	shotgun	131072	73157	-	4096	false
79	shotgun	131072	98268	-	4096	false
80	shotgun	131072	70624	-	4096	false
81	shotgun	131072	1639	-	4096	false
82	shotgun	131072	6896	-	4096	false
83	shotgun	131072	98468	-	4096	false
84	shotgun	131072	84891	-	4096	false
85	shotgun	131072	5170	-	4096	false
86	shotgun	131072	107889	-	4096	false
87	shotgun	131072	72937	-	4096	false
88	shotgun	131072	106867	-	4096	false
89	shotgun	131072	28164	-	4096	false
90	shotgun	131072	103200	-	4096	false
91	shotgun	131072	21500	-	4096	false
92	shotgun	131072	26096	-	4096	false
93	shotgun	131072	43198	-	4096	false
94	shotgun	131072	67450	-	4096	false
95	shotgun	131072	40896	-	4096	false
96	shotgun	131072	28910	-	4096	false
97	shotgun	131072	28704	-	4096	false
98	shotgun	131072	55594	-	4096	false
99	shotgun	131072	6520	-	4096	false
