# seed=42 mode=sniper file=generated_testsrc.mkv filesize=467225
trial	mode	filesize	off	bit	span	detected
0	sniper	467225	292926	1	1	true
1	sniper	467225	141660	3	1	true
2	sniper	467225	52007	2	1	true
3	sniper	467225	143775	7	1	true
4	sniper	467225	424979	5	1	true
5	sniper	467225	355155	1	1	true
6	sniper	467225	54168	6	1	true
7	sniper	467225	333948	3	1	true
8	sniper	467225	21683	4	1	true
9	sniper	467225	293706	4	1	true
10	sniper	467225	365766	7	1	true
11	sniper	467225	173295	3	1	true
12	sniper	467225	140793	1	1	true
13	sniper	467225	162695	3	1	true
14	sniper	467225	76129	0	1	false
15	sniper	467225	159716	3	1	true
16	sniper	467225	194700	6	1	true
17	sniper	467225	24685	0	1	true
18	sniper	467225	199313	7	1	true
19	sniper	467225	285842	6	1	true
20	sniper	467225	18805	3	1	true
21	sniper	467225	458380	4	1	true
22	sniper	467225	219954	2	1	true
23	sniper	467225	314915	0	1	true
24	sniper	467225	167576	5	1	true
25	sniper	467225	336796	0	1	true
26	sniper	467225	136844	5	1	true
27	sniper	467225	43547	4	1	true
28	sniper	467225	402546	4	1	true
29	sniper	467225	17093	7	1	true
30	sniper	467225	359572	1	1	true
31	sniper	467225	145691	3	1	true
32	sniper	467225	37467	0	1	true
33	sniper	467225	172018	0	1	true
34	sniper	467225	194917	4	1	true
35	sniper	467225	309081	7	1	true
36	sniper	467225	348641	6	1	true
37	sniper	467225	166467	5	1	true
38	sniper	467225	460038	6	1	true
39	sniper	467225	52175	0	1	true
40	sniper	467225	201814	7	1	true
41	sniper	467225	369472	7	1	true
42	sniper	467225	398138	6	1	true
43	sniper	467225	290333	0	1	true
44	sniper	467225	8028	0	1	true
45	sniper	467225	225754	6	1	true
46	sniper	467225	69506	3	1	true
47	sniper	467225	160032	5	1	true
48	sniper	467225	234690	2	1	true
49	sniper	467225	252236	2	1	true
50	sniper	467225	8757	2	1	true
51	sniper	467225	428023	3	1	true
52	sniper	467225	137144	7	1	true
53	sniper	467225	181984	2	1	true
54	sniper	467225	164825	6	1	true
55	sniper	467225	8855	7	1	true
56	sniper	467225	123621	6	1	true
57	sniper	467225	254193	6	1	true
58	sniper	467225	88065	1	1	true
59	sniper	467225	211259	2	1	true
60	sniper	467225	337627	4	1	true
61	sniper	467225	224039	2	1	true
62	sniper	467225	275992	5	1	true
63	sniper	467225	111948	7	1	true
64	sniper	467225	117821	0	1	true
65	sniper	467225	55043	0	1	true
66	sniper	467225	8542	3	1	true
67	sniper	467225	326698	7	1	true
68	sniper	467225	324870	1	1	true
69	sniper	467225	241395	3	1	true
70	sniper	467225	105594	2	1	true
71	sniper	467225	276229	6	1	true
72	sniper	467225	192795	2	1	true
73	sniper	467225	212322	4	1	true
74	sniper	467225	8325	2	1	true
75	sniper	467225	284226	2	1	true
76	sniper	467225	432271	0	1	true
77	sniper	467225	241571	4	1	true
78	sniper	467225	448336	2	1	true
79	sniper	467225	375929	4	1	true
80	sniper	467225	174251	2	1	true
81	sniper	467225	204896	3	1	true
82	sniper	467225	184746	0	1	true
83	sniper	467225	186769	2	1	true
84	sniper	467225	243237	2	1	true
85	sniper	467225	167101	3	1	true
86	sniper	467225	182004	6	1	true
87	sniper	467225	248568	6	1	true
88	sniper	467225	204750	0	1	true
89	sniper	467225	274087	5	1	true
90	sniper	467225	449248	6	1	true
91	sniper	467225	120052	4	1	true
92	sniper	467225	118799	2	1	true
93	sniper	467225	51206	3	1	true
94	sniper	467225	390398	4	1	true
95	sniper	467225	182246	7	1	true
96	sniper	467225	406728	6	1	true
97	sniper	467225	410948	2	1	true
98	sniper	467225	194130	0	1	true
99	sniper	467225	342951	7	1	true
100	sniper	467225	216022	0	1	true
101	sniper	467225	117691	2	1	true
102	sniper	467225	293235	1	1	true
103	sniper	467225	126641	5	1	true
104	sniper	467225	347163	2	1	true
105	sniper	467225	443359	1	1	true
106	sniper	467225	246416	0	1	true
107	sniper	467225	54688	1	1	true
108	sniper	467225	466404	1	1	true
109	sniper	467225	295988	6	1	true
110	sniper	467225	117617	0	1	true
111	sniper	467225	444840	0	1	true
112	sniper	467225	400683	5	1	true
113	sniper	467225	466171	4	1	true
114	sniper	467225	101676	0	1	true
115	sniper	467225	21220	6	1	true
116	sniper	467225	20876	7	1	true
117	sniper	467225	36952	1	1	true
118	sniper	467225	404322	4	1	true
119	sniper	467225	149821	6	1	true
120	sniper	467225	210895	1	1	true
121	sniper	467225	155047	5	1	true
122	sniper	467225	393971	6	1	true
123	sniper	467225	441728	3	1	true
124	sniper	467225	244319	7	1	true
125	sniper	467225	352700	6	1	true
126	sniper	467225	152606	2	1	true
127	sniper	467225	115291	1	1	true
128	sniper	467225	204244	0	1	true
129	sniper	467225	360507	5	1	true
130	sniper	467225	432000	3	1	true
131	sniper	467225	379091	0	1	true
132	sniper	467225	293442	0	1	true
133	sniper	467225	190918	4	1	true
134	sniper	467225	434352	4	1	true
135	sniper	467225	81749	6	1	true
136	sniper	467225	432422	4	1	true
137	sniper	467225	105704	3	1	true
138	sniper	467225	125856	2	1	true
139	sniper	467225	302080	1	1	true
140	sniper	467225	59769	5	1	true
141	sniper	467225	363295	0	1	true
142	sniper	467225	212014	0	1	true
143	sniper	467225	141341	3	1	true
144	sniper	467225	251259	7	1	true
145	sniper	467225	55071	2	1	true
146	sniper	467225	26249	2	1	true
147	sniper	467225	214637	6	1	true
148	sniper	467225	288234	5	1	true
149	sniper	467225	337549	7	1	true
